description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
"When we got here there was a line (it was a Sunday afternoon) and it took about 20-30 minutes for us to place our order. We got a salted caramel lobster tail and a red velvet cupcake. The salted caramel lobster tail was great. The red velvet cupcake was okay, I like the red velvet cupcake at Georgetown Cupcake more. But I would go back for the lobster tail! Very limited seating at the bakery.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
"Best value in Madison. Best ice cream taste in Madison. For 2.75 you can get a huge portion of ice cream and huge is the only way to go when getting ice cream. The mocha flavor is personally my favorite. The peanut butter chocolate is also delish. It's always fun to pester the students working there. By pester I mean ask for ice cream nicely. Come on bro just scoop the ice cream, we all know you just have this job for beer money.",5,Positive,unknown,Positive,unknown,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"This is a great place to grab a light breakfast on the go. It has the same great pastries from The Bouchon, but in a convenient setting. Prices are going to be higher than your average bakery, but it's expected because it's Bouchon and it's in the Venetian. Beats the pastries at Starbucks by far, so definitely worth it.",4,Positive,unknown,unknown,unknown,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown
This place is AMAZING. Best ice cream ive had in AZ. I was a newbie and of course had a pretzel cone with coconut ice cream. REAL BIG FLAKES OF COCONUT. so yummy. go check it out!,5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Try the banana ice cream! It's the best! Everyone is friendly. The place is too small to handle the crowds but the ice cream is well worth it. Don't raise your prices!,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Positive
"Ordered a strawberry cupcake, but received what turned out to be a spice cake with strawberry icing. Both were good, separately, but not what was wanted.",3,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Superb ice cream parlor - definitely a must-try if you're in downtown Madison. The interior is ordinary, but they have a wide array of ice cream flavors - I had the chocolate and peanut butter flavors in a dish, and life was very good for the time they lasted :).",5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Because this location did not have any soft serve or shakes available....and it's 108 degrees outside.,1,unknown,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown
"This place was so mediocre for the money spent. I needed a sweet pick-me-up and I was disappointed. I looked on Yelp and saw the three stars, however, decided to give it a shot anyway. I purchased the Crack Pie MilkQuake since it's only made in Vegas Asked for suggestions beforehand, the girl at the counter wasn't too interested in helping me out in choosing something. So I kind of went with my gut. Too sweet. Not enough of a characteristic taste to make it stand out. There were like 4 globs of cookie and a bunch of soft serve. Ummmm ok. Lol. Don't waste your money.",2,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"It's been a while since I've been to Churn but located next to Windsor and all their other delicious restaurants. It's cute and quaint with plenty of options. We got a How now, Brown cow which is a float which hubs got Coke with vanilla ice cream. It's a classic and was great. I got a 2 scoop of strawberry and milk n' cookies in a waffle cone. The ice cream is creamy and yummy and their scoops are huge. The strawberry was creamy with plenty of strawberry in it. The milk n cookies had semi baked chocolate chip cookie throughout and was amazing. The gal helping us was so friendly and helpful and definitely a reminder that we need to pop in more than every couple years. Definitely will be back soon!",5,Positive,Positive,Positive,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"This place is easy to get to, is clean and the staff are nice. I had the Matcha with Strawberry puree and it was so delicious. I thought it would be too sweet and not enough matcha but it was perfect! My friend got the pink crush and that was really good too! Will be back here again",5,Positive,unknown,Positive,unknown,Positive,unknown,Positive,unknown,unknown,Positive,Positive,unknown,unknown
This is a must visit ice cream shop! There is a constant rotation of new and unique ice cream flavors and their dough melts are heavenly with the perfect balance of doughnut fluffiness but dense enough to hold the ice cream. I go there every time I'm in the area,5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"This is an awesome hole in the wall. The cookie cup is $6.50 and comes with three scoops, a macaroon, and a marshmallow. So many different and creative flavors of ice cream and sorbets! Highly recommend. I got the Cinnamon Toast Crunch ice cream and a red velvet macaroon. Will definitely come back here.",5,Positive,unknown,unknown,unknown,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"While I do enjoy stopping by here to collect the free piece of chocolate you receive upon entering the store, I was never interested in trying any of their sundaes. I know they don't make their own ice cream and their choice of using Dreyer's isn't particularly enticing to me. However, hubby and I were spending any evening on the Strip, we were craving ice cream and we were far too lazy to walk to where we really wanted to go. So we made it work. We looked over the menu and decided to share their large Brownie Sundae - but instead of vanilla ice cream, we chose cherry. We requested no caramel and asked that they use their dark chocolate hot fudge. Wow. So good! The ice cream does have a very smooth texture (just the way I like it). And it isn't overly sweet or flavorful, which paired perfectly with the crazy-richness of the dark chocolate hot fudge. But what made this Sundae extra amazing was the Brownie. It had the perfect balance of being moist and fluffy. It also had a amazingly strong chocolate flavor. Mmmm! I can't wait to go back! Friendly service and yummy treats!",5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"BOUCHON BAKERY BOUCHON BAKERY BOUCHON BAKERY!!!! Is where I have to go before leaving vegas. MACAROONS.... AMAZING! They're HUGE and so fresh and delicious. The cookie has a nice shell on the outside and is soft on the inside. All the macaroons have a buttercream filling which is delicious!!! I like more than the clear gel fillings I've tried. BEWARE, there are two pastries stands on the casino floor of the Venetian. BOUCHON BAKERY is hidden BEHIND the elevator. Also important to note, they dont have a specific closing time... so go early in the evening just in case. Try it Try itt!!!",5,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Service was fast - order in, order out. We ordered the fruity cereal milk soft serve with added cornflake crunch and a slice of crack pie. The soft serve was creamy and tasted exactly as described but wasn't overly sweet. But, the added cornflake crunch was not what I'd expected. It had a saltiness to it that didn't really mesh well with the soft serve. We ended up scraping it off. Now, the crack pie. Ohhhhh, the crack pie. I'm obsessed with it. It reminds me of a pecan pie, without the pecans, but more dense. It was rich but not heavy. You could taste the butter in every bite. My only regret was not getting another slice for the ride home. Crack pie. Just do it.",3,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown
"Delicious local ice creamery! They are so cute, they give you ice cream in Chinese takeout boxes with a fortune cookie. I had horchata flavored ice cream, highly recommended! The chocolate, maple fudge flavors are also tasty. Worth a stop when you're downtown!",5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"We got pumpkin, apple, and cherry for Thanksgiving, along with their dinner rolls! Made our Thanksgiving dinner complete!",4,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Quite possibly my most favoritest place in Vegas. I found it on my last trip in March of 2009 and tasted the best cheese danish I have ever had in my life. Flaky pastry...delicious (not too sweet sweet) cheese...in perfect ratio. This weekend, I revisited only to be completely impressed with the chocolate tart. Super chocolately without being overwhelming and the tart was the perfect texture, not too thick or chewy with just the right amount of crispness. It was so good, I brought one back home for my hubby and he loved it. I will say though, that I did try the huge red velvet cupcake once and that was not perfect. It was a little dry on the inside. While I wouldn't call the prices affordable, they are low by Vegas standards and in line with prices for such things in San Francisco. I won't be going back to Vegas anytime soon, but in the meantime, I'll just dream about this place until Thomas Keller one day realizes that the residents of SF would probably swarm this place.",5,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Sinful sweets! Definitely my new place to go for treats. I went on my break at work since it's right around the corner. They had a wide variety of different chocolates. I had their dark chocolate with coconut which was outstanding. I also tried the dark chocolate caramel which was quite possibly the best caramel I've ever had. We also got a few of the cake pops which were amazing as well. The cake was extremely moist and everything was so fresh. Not to mention, you can't beat the prices. Realistically priced and the associates were extremely attentive. I was greeted as soon as I walked in the door. Downtown people, locals, tourists, this is the place to go! Yum!",5,Positive,unknown,Positive,unknown,unknown,Positive,Positive,Positive,Positive,Positive,unknown,unknown,unknown
"Best ice cream place in phoenix! The staff is just as sweet too there's always a line, but that kind of thing is hard to avoid with ice cream so good. The interior is cute. You have to try the chocolate sauce and whipped cream when you go!",5,Positive,Positive,Positive,unknown,Positive,unknown,Positive,unknown,Positive,Positive,unknown,unknown,Positive
"When I first saw the creme brÃ»lÃ©e donut on Facebook, I knew that I had to try it the next time I was in Vegas. Well, the 'next time' was much sooner than I thought. And for those of you who don't know what I'm talking about, go Google the creme brÃ»lÃ©e donut now and watch a video of it in action. It's just one those things where words won't do it justice. The thing about Donut Bar is that it is open until the store runs out of donuts. Therefore, I recommend getting there when it opens or going on a weekday. My friends and I got there on a Tuesday morning around 10am, and there wasn't a line. The best part was that there was a ton of creme brÃ»lÃ©e donuts available! We tried the pistachio lemon, maple bacon, strawberries & cream, and the creme brÃ»lÃ©e donuts. Out of everything I tried, the creme brÃ»lÃ©e is my favorite. The sugar coating is thick and tough, making it impossible to 'crack' with a plastic spoon. The cream filling inside is not too sweet and delicious. The other donuts are the cake kind, which is not my favorite. They're good -- a solid 4 where the creme brulee is a 4.5",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Churn, where have you been all my life?! If ice cream is your one of loves in life and you happen to be in phoenix, you must check out Churn. Churn got sundaes, cream cookie sandwiches, pretzel cones ice cream and many mores that your sweet tooth desires! I love their pretzel cone ice cream The lightly salted pretzel cone is a nice compliment to their sweet ice cream. My favorite ice cream with the pretzel cone was the chai tea (I normally do not like too sweet dessert. I found the chai tea ice cream to be a perfect balance of sweetness, but my friends love their butter pecan, vietnamese coffee and the mint chocolate. My advice is to sample them all and pick your favorites! Service was great! The staff were friendly and helpful since my bf and I were out of towners. I definitely would come back the next time I am in Phoenix!",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"I drove up the street chasing my sweet tooth and glad this is where it brought me. I mean holy baked goodness this place has arguably the best cake in Pittsburgh. Rich, sweet, layered, tasty and real. Sweet baby Jesus, just thinking about it makes me sad I left a bite on the plate. DONT YOU JUDGE ME. Just kidding judge away, after a hefty meal, this slice is a sharer. Taking on a slice on your own is only if you have the room after dinner or whatever. Running you around $7 for a slice, these cakes are clearly made the old-fashion way and with real ingredients- No preservatives, no bullshit. They have vegan options, which offends me because that's food discrimination, but I got over it shortly after my taste-buds simultaneously cried little tears of joy in my mouth. I tasted 3 different cakes but the one I devoured was the Pistachio, creme something something. I forgot the name because I blacked out from a flavor coma. WORTH EVERY PENNY. The place also has plenty of coffee options cold-press, espresso,lattes, mochas etc etc etc. (I had a cold press which was perfect bitter counter to the sweet cake.)The environment is cool but no way of browsing a menu for what you want to drink and if you ask the lady behind the counter she will be smart and snippy with you. A real negative Nancy. Good thing I couldn't remember her after I blacked out from how good the cake she gave me was.",5,Positive,unknown,Negative,unknown,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"If you like coffee ice cream, then allow me to insist that you try their Vietnamese Coffee ice cream. It is absolutely heavenly and you won't be disappointed. In addition to their decadent ice creams, I also grab a few cookies to go. Fresh, soft, chewy and amazing.",4,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"This is actually SomiSomi's second location in Las Vegas. Their first location being the one in Shanghai Plaza and I'll admit, if you can, come to this location instead. There isn't much difference in quality or service but the wait at this location is significantly less. While they have both soft serve and taiyaki (fish shaped waffle), I think their taiyaki is better than their soft serve. Their soft serve is good but a lot of the flavors are really subtle. They rotate their flavors though so at least there is always something new to try if that is your thing. I love their taiyakis. You can get them filled with nutella, custard, cookies and cream, taro, cheese, or red bean. My favorite is the custard and they are absolutely delicious when eaten fresh. If you haven't tried them before, you should give it a go.",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,Positive,Positive,unknown,unknown,Positive
"I had crack pie! It was delicious. I wish it had been a freshly sliced pie, instead it was pre sliced in a cardboard container. It was teeny tiny. I was surprised at how small the slice was for the price. I probably would not go again, but I can now say I had crack pie.",3,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Wow wow wow! What a great area at University area. A glazed doughnut filled with ice cream then deep fried?!! Wtf???? Why does it have to be soooo good! Well done, great area and a line out the door!",4,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown
"I love this cafe with delicious drinks, ice cream and pastry, cute decors and welcoming staff members. I love their matcha ice cream and matcha frappe with cheese cream! The baked goodies are really yummy too. I have tried their matcha tiramisu, matcha creme puffs, matcha creme bun, madeleines, etc. I love all of them as they are very unique and not too sweet.",5,Positive,Positive,Positive,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown
"Super cute place. Friendly and helpful staff. Great ice cream and very creative creations to enjoy. I would definitely recommend this place. Also, very reasonably priced. .",5,Positive,Positive,Positive,unknown,unknown,Positive,Positive,Positive,Positive,Positive,unknown,unknown,Positive
"We came here because one of our friends raved about the breads and cakes here. When we arrived early Sunday, we were excited because there was no line snaking outside like there was previously. We picked our breads and ordered our drink and 3 cake slices at the kiosk so the order would be ready by the time we got to the register. Their system of ringing up purchases is horrifically inefficient. The cashiers individually wrap up each item in plastic prior to boxing it. When I asked the cashier why they didn't just package it before it was placed on the display shelves, she stated that it was because there was nobody whose specific job it was prepackage the pastries and that it was only done when it wasn't busy. Wouldn't it be better to package the items beforehand so it's easier on the cashiers, faster for the customers, and ensure that there's no contamination of the breads/pastries that are sitting on the shelves?? Additionally, I think the workers need to be re-educated regarding safe food handling practices. They handle food to package it, but in addition, they handle money, cards, etc., then they go and touch their faces, lips, and I watched one gloved worker place an order in a box, then use said gloved hand to rub her nose. I would recommend ordering any drinks and cakes at the kiosk so that it will be ready by the time you get to the register, but make sure you check your order before you leave. We left without checking because our kids were getting antsy after waiting in the line and they forgot one of the 3 cake slices we ordered. Bad on us for not checking. One more tip: if you don't care to have your pastries packaged individually in plastic, just let the cashier know and save yourself some time and aggravation.",3,unknown,unknown,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"if you stay at the venetian def hit this bakery stand up! bomb Parisian pistachio macaroons. sooooooo goooood. soft, chewy, creamy, perfect. their red velvet cupcake was dry to me. but the oatmeal and chocolate chip cookies were also delish!",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Visited this place 10/15 in the afternoon. It was not too busy but it still took a while to be helped. Since I had a party of four, I let an older lady go ahead of us in the line because it knew it would take them awhile to help her. I waited for what seemed like 10 mins. A gentleman in a bright colored shirt came in behind us. After the older lady ordered and went to pay, my children and I went up to the counter. Lady in a white shirt (all of the other workers were in red shirts) proceeded to look at us, then looked over my shoulder and asked the gentleman behind me if he had been helped. It took me by surprise at first, all she had to do was confirm with me that we were next in line. Since she felt like we skipped this guy, she went out of her way to apologize to him and thank him several times for his patience and even got another worker to stop what she was doing to help him first. WTH??? We were waiting long before he came in..... She totally rubbed me the wrong way and I will never visit this place again. I would have said something to her but my kids would have been upset so I let it go at the time. Oh yeah... the ice cream wasn't worth it. My kids were not impressed.",1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown
This location is nothing like the Irvine California location. My wife and I were given incorrect information by another employee and when we spoke to Nanz the lead/manager on duty about that issue she had zero customer service skills. Very short in tone and unprofessional. My recommendation is that corporate revisits training at the LV location if they expect to have repeat customers.,1,unknown,unknown,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
Yes! Got the Oreo cupcake and it was worth it. It tasted better than I even expected. Yea it was $5 but whatever YOLO. I'll get it again.,5,Positive,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown
All I can say is this place is the greatest homemade ice cream spot anywhere. Try the Maple Walnut - so good. You'll not be disappointed.,5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"It's so good, I think the best in Arizona!! After one time you will be addicted! You will crave it. I need to have one at least once a week it's that good. They are so friendly and it's like a quick visit to see friends during this time of quarantine. I will be back again and again!",5,Positive,unknown,Positive,unknown,Positive,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown
"Outstanding all the way around! Fat Elvis was super tasty PB, banana with bacon pieces. Tastes incredible! Great customer service from Brandon- he must be the owner. Definitely a must visit for Phoenix",5,Positive,unknown,Positive,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Wow! Damn good ice cream. Owners are so nice and you can see their passion. No wonder they have 5 stars. Check this place out!,5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Never disappointing. Always delicious. Staff is friendly. Super cute and simple inside. It gets really busy so prepare to wait in line, but it is worth it.",5,Positive,Positive,Positive,unknown,Positive,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown
"Banana cream pie I have died and gone to heaven. I'm a picky ice cream eater, but being that I work in Ohio city I figured to give them a whirl and boy and I glad I did! Great atmosphere, west 25th is the up and up neighborhood, and Mitchell's is where it's at!! Pricing is a little higher than the usual ice cream shop but it's totally worth it.",5,Positive,Positive,unknown,unknown,unknown,Positive,Positive,Positive,unknown,Positive,unknown,unknown,unknown
Delicious cannolis! The shells were crisp and fresh and the cream went all the way through. Worth the price. Got an Oreo tower and a white chocolate mousse that I will update about later. Edit: both other desserts were amazing,4,Positive,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Loved the cheesecake, brownie and cupcakes. Omg!!!!! Only downfall they do not have chocolate milk",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Okay y'all! I've lived in Phx all my life and I've driven by this place plenty of times, but today I have finally tried this place out for myself! The customer service was amazing! It was our first time here and they let us try a few flavors while also letting us know what this place was all about! The ice cream was amazing! I highly recommend getting the donut with your ice cream it's the bomb. Also there is plenty of space to sit outside and enjoy your ice cream. Parking is limited, especially at night. Other than that, it's one of the best ice creams, hands down.",5,Positive,Positive,Positive,unknown,unknown,unknown,Positive,Positive,unknown,Positive,Negative,unknown,unknown
Freaking delicious! Little Freezie Rocky Road is out of control good.,4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was good but the experience sucked. Long story short, staff mix up the coffee orders and roll their eyes at you if you ask them if it's the right order. None of the staff communicate with each other. Long lines and poor communication. Starbucks would've been better.",2,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Had the cannoli and a coffee, enjoyed it very much at a great price. Selection is great, but I felt a bit rushed as the line moved quickly...lots to choose from! The setting is great in Little Italy, especially on a Sunday morning. Will definitely be back next time I'm in town to have a more in-depth look.",4,Positive,Positive,Positive,unknown,Positive,Positive,Positive,Positive,Positive,Positive,unknown,unknown,unknown
I have been wanting to try Milk Bar for so long because I heard great things about it. Finally got the chance to try it and I am sadly not in love with it as I want to be. First the service was not the best and the person ringing us up seemed annoyed. I got the birthday cake soft serve and I thought it was okay. Flavor of birthday cake was there but it was overly sweet for me. Also without toppings it was already $6.50. I get that we are on the strip so prices tend be higher. My husband got the chocolate cake milkshake that had cake chunks in it. He enjoyed it. I plan to give this place another chance for a better experience and try something different. It's definitely worth a try if you're in the area.,3,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"My first couple of experiences at Churn were nothing very special. I found myself wondering what all of the hype was about. However, the last time that I came to Churn was a much different experience. My wife and I ordered a scoop of chocolate and a scoop of peanut butter ice cream and the combination of both the chocolate and the peanut butter was delicious. The first couple of times I came here I didn't care too much for the texture of their ice cream, but the texture was pretty smooth and creamy the last time. Not sure if they changed something, but I'm not complaining if they did. Cute little ice cream spot.",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Love this place! Donut heaven!! This place never disappoints! There were so much to choose from....ya just can't have one! So it took us a few turns here and there...but then.....(Angels singing) ahhhhhhh! Let the gluttony begin.,5,Positive,unknown,unknown,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Incredible ice cream, truly some of the best I've ever had and the staff/owners are wonderful! Even my husband who hates dessert said their honey lavender ice cream was the best ice cream he's ever had. I'm only sad I didn't come here sooner.",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Extremely good dessert with tons of unique flavor combinations. I only wish they still made the pancakes and syrup shaved ice. It sounds weird but it was my favorite. I have so many new favorites they are hard to choose from. The staff is always friendly and helpful when ordering. Well be back,4,Positive,unknown,Positive,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,Positive
I'm going to Honey Hut in Brecksville later this evening and if you are a peanut butter chocoholic you have to try the peanut butter fudgie sundae! It's the best chocolate peanut butter ice cream topped with hot fudge and the best peanut butter sauce. Decadent and delicious. I have never had anything bad here and if you're going to splurge on some high fat ice cream this is the place!!,5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Very nice upgrade to the store. So much more on their menu and my kids love it. Every time we go we get to enjoy the outside air and walk around the pond.,5,Positive,Positive,unknown,unknown,Positive,unknown,Positive,Positive,unknown,Positive,Positive,unknown,Positive
"I have tried to go to this bakery for years and everytime I visited the line was crazy. This week however there was no line so I decided to have a taste. I had the hazelnut croissant and a brownie with pecans and caramel. For a bakery with such hype, I was sadly disappointed in the quality. The croissant was over stuffed with hazelnut cream so it ended up oozing everywhere. The brownie also had only a couple of nuts on top with a little drizzle of caramel. The actual brownie was more like cake than a brownie.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
Such a fun place! Great selection. The pride in their product shows through. Enjoyed a single BIG POPPA and some great fresh brewed coffee. Worth the drive from Henderson.,5,Positive,Positive,Positive,unknown,Positive,unknown,Positive,Positive,unknown,Positive,Positive,unknown,unknown
"The best thing that has moved into Midwood in years (and trust me, there is a lot going on here)! The people are awesome, the music is great, the coffee is strong, and the desserts are amazing. The chocolate cake, red velvet cake, napoleon, Boston creme cake, and their cheesecakes (all of them) are amazing. You cannot go wrong! They are open till 10pm so swing by for an after dinner treat. It will be amazing and fairly priced.",5,Positive,Positive,Positive,Positive,unknown,Positive,Positive,Positive,unknown,Positive,unknown,unknown,unknown
A big fan of their cupcakes. Solely came to try out the ATM. Was able to get my favorite flavor strawberry. Really cool experience,5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown
I'm sure everything taste good. But if you search gluten-free on yelp this bakery comes up. They have macaroons and yogurt only nothing else is gluten-free.,2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"Despite the mediocre reviews and people's disappointment over the hype of Milk Bar, I still have to praise their soft serve. People say smell and taste illicit the strongest of memories and that's probably why tasting cereal milk soft serve topped with cornflakes is so nostalgic for me. I realize it is probably one of the most overpriced soft serves in the country, but I will gladly pay $6 (+$1 cornflakes topping) for a piece of my childhood. The soft serve is thicker than typical and each spoonful literally reminds me of the bottom of a bowl of cornflakes. Outstanding. As for the other soft serves, I wasn't a big fan of the fruity [pebbles] soft serve or the crack pie version. For me, I like it pretty simple. They do offer samples for you to try should you want to taste before ordering. In terms of the cookies and pies, these definitely go into the overpriced and over hyped category. Years ago when I first tried their cookies at the original Milk Bar in NYC, the cookies were sold in display cases instead of being wrapped in cellophane. At that time, I thought the compost cookie was the best thing since sliced bread. Now, I think the cookies taste stale and mass produced. The crack pie is also no longer crack to me. It was so overtly sweet that I couldn't understand why I liked it before. However, that isn't to say I won't return for the soft serve. Yum!",4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Great customer service and good ice cream. Loves the yummy bun (donut ice cream sandwich). I'll be back!,4,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Went with the Big Daddy cup or whatever it's called... Tried a few flavors of gelato (salted caramel, coffee that I found too potently bitter) before settling in on chocolate chip. None of them were as smooth as I'd wanted. For my macaroon I chose vanilla - it was the best part of the cup! I was most excited about a toasted marshmallow on top, but it tasted salty and wasn't gooey all the way through because it's only toasted with a blow torch. Neat trick but it didn't live up to my expectations. Also, the whole thing is tough to eat with the spoon they give. I ended up taking off the marshmallow, and using the macaroon as my spoon.",3,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"After willing to try this place for a long time, I finally tried it, and decided that the long line wasn't really worth it at all. First of all, the food and customer service looked like a big joke. I ordered a crumb cake and a lobster tail which both looked dry. Second of all, the lack of organization in the tiny shop was ridiculous. The people behind me were paying in first and I was left for last. That immediately struck me as horrible customer service. But, it doesn't end there. When I got home I tried cutting the crumb cake, and it was stiff as a hockey puck. It just looked really old, and dry as I expected. Lastly, the lobster tail was soggy, mushy, and flavorless. In the end, I've saw Cake Boss and I expected that their pastries were going to be decadent and delicious, but it was not close to that. Try it at your own risk.",1,Negative,Negative,Negative,unknown,unknown,unknown,Negative,unknown,Negative,Negative,unknown,unknown,unknown
"I'm so disappointed. I got a Sprinkles cupcake last night & it was horrible. Dry, bland, & kinda stiff. Not even lying. :/ It made me so sad that I couldn't finish it. Paying for an almost $4 cupcake, it killed me to throw it in the trash. I've never had any of their cupcakes that were like that. I usually visit the one close to me in La Jolla in San Diego & the cucpakes were always yummy.",2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Compost cookie + cereal shake = 'nuff said.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"They are super nice and helpful here! I was a first time customer and they gave me helpful opinions so I could choose a flavor. I went for a boba drink, mango with strawberry popping boba. I've never used a paper boba straw so that was cool they had that. My drink was a little too sweet for me, but I think that was just my personal preference. I would definitely come back and try something different!",5,unknown,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"It was my birthday and my husband bought me a birthday cake milk shake with booze in it. I am not a huge cake fan, so this was perfect for my birthday cake substitution. The flavor was really good, but the vodka was so strong because the shake consistency was so liquidity. It needed to be thicker to be considered a shake. It just seemed like a milky cocktail. Other than that, this drink was cute with the sprinkles on top and just what I wanted.",4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Came in for a sundae on Sunday! This place is located at the LINQ, right by the High Roller. It was packed at 1030pm!! The shop is pretty small, and the seating is all squished together, but they move pretty quick and the sundae was PERFECTION! Try the Treasure Island with chocolate ice cream - chocolate brownie, ice cream, tons of fudge and whipped cream! At 12 bucks, it definitely isn't the cheapest place to go, but I highly recommend. Plus they give out samples... who doesn't love free chocolate?!?",4,Positive,Positive,Positive,unknown,unknown,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown
