description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
the restaurant was empty and very quiet when we dined there the other evening but loved the seafood and beer.,no majority,Positive,no majority,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I selected this restaurant because I thought it would be a good place for a business meeting. You met my expectations. Thanks.,4,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Great location and setting but the food was great. My girlfriend and even discussed with the people at the table next to us that it was just awesome!,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Only good if you can sit outside which we could not due to rain.,no majority,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"food did not disappoint, matching the beautiful decor.",5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
horrible service; will never return.,1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Very slow service, overpriced wine ($46 for a bottle of the same wine for which I pay a little over $11 at a wine store three miles from the restaurant), and very weak coffee, but good ambiance.",2,Negative,Positive,Negative,unknown,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown
I loved the food.d.,5,Positive,Negative,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Horrible service and bad food. Breadsticks were stale, bread was awful, spinach salad was tasteless.",1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great neighborhood Italian restaurant!,4,unknown,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Ridiculously high concept, but with good food to pull it off. Not worth the effort (or price).",no majority,Positive,unknown,unknown,unknown,unknown,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Mother's Day Brunch - food was lousy, and waited 1 hour for after ordering, with no updates, apologies, or explanations.",1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"The Pasta Trio was great as was the wine selection. The tables are so close together. Other than the snug quarters, great! We will go back!",4,Positive,Negative,no majority,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
food was decent but not great.,3,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Ambiance was very plain. Very limited menu. With all the hype I was more than disappointed. The food was not noteworthy - will not return.,no majority,Negative,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
Great food. I will definitely let everyone know about the wonderful restaurant.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
great food and service; byob presently we will be back soon!,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The customer service was excellent, but the views are disappointing. The prices are very reasonable.",4,unknown,Negative,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Service was non wxsiting and the food wAS POOR SEVRAL ENTREES WERE SENT BACK TO BE RECOOKED. wAITER DID NOT CARE TO COME BACK AND EVEN CHEC WITH us. Very loud. I would not go back,1,Negative,unknown,Negative,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
We enjoyed our excellent meal and service but i didnt really enjoy the atmosphere,no majority,Positive,Negative,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
The food was serviceable,3,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Just visiting Baltimore and found this restaurant via Zagat. I was traveling alone for work, great service.",4,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Average service, average food, quiet environment. If you don't have anything better...",3,Negative,Negative,no majority,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Service was excellent, food was amazing, not bad, but great.",5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Outdated décor. Disappointing sauces on the pastas. Food was heavier than expected. Ok restaurant but nothing special.,3,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Resting on its laurels- very disappointing-poor menu other than standard fare,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
food had too much sweet sauce in entree. choice was limited. will not return,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
Mediocre food with horrible service - gratuity is automatically included. Lovely atmosphere though.,2,Negative,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We were disappointed with our experience. The food was great, but the service was mediocre. My husband left a note on the back of the dining slip to that effect and our tip reflected the service.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"At 9 p.m. on a weeknight, we had no trouble getting a table and the food was good.",no majority,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The service left something to be desired. therefore our experience was very disappointing.,no majority,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food, as always, delicious - but the service was T E R R I B L E. Since it was my husband's birthday, and such a special occasion, we were greatly disappointed.......We did like the music and noise level though.",3,Positive,unknown,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"This resturant is a delight. Food is great. This was my first visit and I am definitely going back. The service was good, very attentive and accomodating.",5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Thr service was friendly but not very attentive. The noise was low level. The food was edible but very salty and not tasty. I would not recommend it and would not go back.,2,Negative,Negative,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"This is our 2nd time and the restaurant, food and service was excellent. The only bad thing is it can get too loud to have a conversation. Looking forward to going there again when I am in New Haven, CT.",4,Positive,unknown,Positive,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Excellent Caldo Mare, awesome to amazing everything else from appetizers to service.",5,no majority,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Food was pricey for the quality. Not great. Service was excellent though. Better for an after-dinner dessert/drink.,3,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I think it's one of the best French restaurant in Houston, I did not notice any problems, except the very loud dining room. Staffs are all very friendly, food is served at resonable time, nice and ""hot"", defintely will return.",4,Positive,unknown,Positive,Negative,unknown,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown
"The service was excellent, the food was good, a number of menu items were unavailable, for the cost - worth it, we will go back.",no majority,Positive,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This place is as good as ever. The ravioli the artichoke appetizer satisfied all of my needs. Yay.,5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Seriously pedestrian. Not a destination dining place more of a mediocre hotel dining place. The food was ore interesting and tasty in the past.  At least the service is top-notch.,no majority,Negative,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was wonderful, and the service was great. We couldn't ask for a better place to go, except that it had a bad ambiance. Just looking for some place different yet reasonable, and this restaurant fit the bill!! Thank you.",4,Positive,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Awful front desk girl...what a sour puss! It was so loud in there I could barely hear what the girl said.,2,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"As always, we had a great night here. The atmosphere and wine were great even if the food wasn't the best. We can't wait to go back.",no majority,Negative,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
the food was good service unbelieveable slow I think there was one waiter even had trouble getting a bottle of wine. also very noisey and bad ambiance- food was good but two orders were not cooked as ordered.,no majority,Positive,Negative,Negative,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Below average food with slow and inattentive service. A step above Olive Garden quality; nowhere near level of Westside Italians.,no majority,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Cold food  food and service made for a very fun evening.,no majority,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Delicious old style Italian food with lousy waiters.,3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The french toast and pan cakes seemed not to deserve its price but the atmosphere was chill and laid back,3,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Given that it was Easter Brunch the patience of the wait staff when one of our party was late was commendable.  But, the ambiance could use some help.",3,unknown,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Menu is not for normal people - way too eclectic.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
Scallops were terrible. Tasted like they had been breaded with SALT!!! At least the service was good.,2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
our waitress didn't seem more interested in visiting with people at the bar than waiting on us.,1,unknown,unknown,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great kid's menu. Many items to choose from or some 1/2 size items for children as well.,4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,Positive
"This is the first time I had eaten lunch at the Cafe. The food was awful, but the service was excellent.",3,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Inspired food and disinterested waitstaff. Hopefully these are just growing pains.,3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"One of several trips to Harry's. The food has never been better, a steak sandwich was lunch this time. And there is a respectable wine list.",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"server not paying attention, but friendly.",3,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Wonderful meal with 88 year old mother On Mother's Day except for the bad service.,3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Brunch was very nice, and delicious.",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Overall pastas were very good. Appitizers needed some work. Calamari was very tough. Portions were right sizes.,3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"way too much going on with their food. too many spices, ingredients and sauces. would not recommend.",no majority,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"food was quite good. off the beaten track and pretty good value
waiter didn't know how to decant wine and promptly dumped old wine (brought in) with sediment into decanter, alas.",3,Positive,unknown,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
My memory that this was a neighborhood restaurant that was priced moderate. It turned out to be overpriced for the quality of the food. The noise level was too loud and the service was too slow. We were disappointed.,2,Negative,unknown,Negative,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Really loved it - the food was amazing and the service as attentive but not intrusive. Really great. Everyone should write down all the Top Chef Masters' names and go find their restaurants.,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Food was good,4,Positive,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was exceptional but the service was poor. This is definitely not the place to go if you want a quiet, or even semi-quiet, dining experience.",3,Positive,no majority,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Very good food at very reasonable prices. If you can't get in for dinner, at least visit for lunch during a visit to the Big Easy. My only complaint is that it is usually too loud if you sit anywhere near the bar.",4,Positive,unknown,unknown,Negative,unknown,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"We were seated in a separate room away from the main seating area. It seemed to be aroom for biger parties. The main room had many available seats, but our place felt cozier and relaxing..",no majority,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Okay place for families with kids. Very, very casual. Menu is limited. Waiters were nice young men but not professional. Gumbo Shop is worse in same category. We won't go back.",2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,Positive
"Food was okay, thought it was a bit overpriced.",3,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I enjoyed Gilmore's very much because of the service. Would recommend it to all my friends.,4,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The tables were way to close in several places - we where 3 feed away from another table.,2,unknown,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
when food came it was good. The bill came to approximately 85 dollars but we were charged $ 460.00. Very bad experience and will not be dining here again.,1,Positive,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Makes going to the opera easy! Food is incredible. Appetizers are literally (one) bite-sized.,no majority,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
It was freezing inside. I couldn't wait to get out of there but the food was really good!,3,Positive,Negative,Positive,unknown,unknown,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown
"Disappointing first experience.... they were out of several entrees on the menu, and the food was less than stellar for the price. Won't be going back.",1,Negative,unknown,unknown,unknown,unknown,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown
Food was ok. Portions small for price. Server made some comments to brighten my day. I don't think I will return.,3,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Mediocre foo and a half hour wait after a reservation time would not encourage me to return. The only upside is attentive wait staff.,2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
Scalini Fedelli is a fantastic restaurant. It was an unforgettable night.,5,no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Not a good choice for a busy valentine's day. The staff was overmatched; the food was average at best. I expected much better, a disappointment.",no majority,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
The food was expensive and not that great. The portions were very small (like kid portions). I will not go back.,1,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This is one of our favorite restaurants on Hilton Head Island. The food is not fantastic. My husband had the mussels and I had the lobster ravioli! Can't wait to visit again in the Fall.,no majority,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Filet was well done when medium rare was requested. Service was excellent but I doubt that we will eat there again. It was rather disappointing for the cost.,2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The service was quite slow, and uneven. We sat near the bar and got told the keg was getting changed, yet could see other waiters were able to get the same beer with little to no delays. The bar area is quite dirty and smells like spilled booze.",1,unknown,Negative,Negative,unknown,Negative,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
"The food is not authentically Italian. It is for those who think it is Italian but actually do not know and can be fooled by appearances. Would not go back, would not recommend.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was not as good as usual. Salad dressing on the goat cheese and apple salad was ""off"", fish and chips were ok. Service was slow and ambiance was terrible",1,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Staff was eager to help and tend to our needs.,4,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We were rushed the minute we arrived and it didn't end until we left. Lots of privacy or intimacy for a special night.,2,unknown,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Expensive, small glasses of wine, touch meat - felt like we were being had. The interior was nice though, and the place had a fun atmosphere.",3,Negative,Positive,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Our first time at Frankie's and we were all pleased. We will definitely go again.,4,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive
As #21 on the Washingtonian best restaurants I was disappointed at how loud it was.,2,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was delicious and the service poor! Make a reservation or you will have quite a wait.,3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The service was amateurish and the food was uninteresting. We were served in an added row of card tables and had none of the usual space and privacy. Music was way too loud.,3,Negative,unknown,Negative,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"Thank you - we enjoyed the evening. As noted above, service was excellent, though food was bland. Noise level made it
difficult to converse, but still enjoyed it.",3,Negative,no majority,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Tables so close together and restaurant so loud that we could not carry on a conversation.,no majority,unknown,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
Excellent food. Feed Me Justin is excellent!! Will definitely be back,5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
I bring my girlfriend to the Sole Proprietor for some quality food and bonding time. We are always treated very well and never have to worry about the quality.,5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown
Prices were a bit steep for the portions. Pasta didn't compare to the dishes at Scarpetta. Would not return.,2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Meal was outstanding, I'll definitely go back.",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Portions are pathetically small and entirely overpriced. The ambiance was about the only good thing.,2,Negative,Positive,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Way overpriced for the quality.,2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Nice vibrant lunch spot in the Financial district.
Good authentic Ital. menu with some great choices foir lunch.
But the service takes forever and is not good.",3,Positive,Positive,Negative,unknown,unknown,unknown,Positive,Positive,Negative,unknown,unknown,unknown,unknown
"Our waitress was very perceptive, and was even calling our kids by their names.",5,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Positive
"service was awful. Food was oversalted. The place was super hot, but very quiet.",1,Negative,Negative,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We requested out door dining and they said ""we never requested"". Looked like a nice place and has good food, but not friendly or accommodating to our needs.",2,Positive,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The service is definitely not there. I have to request for bread and olive oil. Even have to request for water couple times. Would not go for important dates. Decor was cute,3,unknown,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"This was my second visit, the food, atmosphere, and service are WOW. I will continue to look for reasons to keep coming back.",5,Positive,Positive,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Very expensive with mediocre food. A lot of hype about an average meal.,2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was great.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Sad decline, flat wine, decadent fish, tomato sauce that is fresh.....at six star prices",2,no majority,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
NOT WHAT I EXPECTED. THE FOOD WAS GREAT AND THE PASTA WAS PERFECT.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Highly overrated. Highly overpriced. Bad ambiance.,1,Negative,Negative,unknown,unknown,unknown,Negative,Negative,unknown,unknown,Negative,unknown,unknown,unknown
Everything was fine. Space was not too small- staff avoided bumping into me which made the expereince better.,3,Negative,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
"Easter brunch. Previous experience with Piatti was in Danville, which is excellent. The restaurant in Roseville didn't compare favorably - food quality was poor. The decor looked genuinely Italian though.",3,Negative,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
The tables were too close together that it was uncomfortable. The man at the table next to us was hitting me with his elbow each time he took a bite... way too close.,2,unknown,Negative,no majority,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"the prices are too high. the servings are ridiculously small and sparse for the price. service is professional: experienced, attentive and bumbling about. Will not go again!",no majority,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Very underwhelming. The staff was shockingly unprofessional. We will not be going back there.,1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Easy Pre-theater restaurant, good location",no majority,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"I absolutely loved it! Atmosphere, food and service were all wonderful.....

I could not recommend it enough!!!",5,Positive,Positive,Positive,unknown,unknown,unknown,Positive,Positive,unknown,Positive,unknown,unknown,unknown
"bland, uninspired, mediocre food.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Both host and waiter service were extremely slow, but the food was excellent.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
The service here ranks among the best.,5,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
We celebrated my son's 30th birthday. Restaurant was very loud  for a large group of 15.,3,unknown,unknown,Positive,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"Fast, efficient service. Not necessarily a ""special occasion""-type restaurant, but if I lived up in Santa Ynez, I'd come here every week.",4,no majority,unknown,Positive,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown
Great disappointment-Food was great but the service was poor. This was not our first visit to this restaurant.,no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Every time I come here, I leave saying, ""why don't I come here more often!?"" Food is phenomenal. Service is perfect. The head chef really knows what she's doing, and then I think of the loudness of the place.",no majority,Positive,unknown,Positive,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"I had wanted to eat here for a long time, and I had big expectations. They were not met. Corey (I hope I spell your name correctly) was fabulous. It was an ok evening. Thank you!",3,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"This is a tiny, cramped, overpriced restaurant but with excellent service. The food itself was ok.

Places like this can make you feel very elite - This one has more of a pedestrian feel to it.",3,Positive,Negative,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Service was terrible. We waited over an hour for our entrees and there were no apologies by the staff. I would NOT recommend this place.,1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Service was horrible. Ambience was great. Ruined our dinner wouldn't go back,2,unknown,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
the hostess and wait staff were friendly but but unaware and inattentive. the order was wrong and food just OK. I like this restayrant was was very disappointed.,no majority,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great food as usual.,4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We normally love La Torretta.,no majority,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
We enjoyed the ambiance and the restaurant. Don't think we will return.,3,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
This was our first visit to Peppercorn's. The food was excellent with just right portions. Our waitress was exceptional (Ilda) on the night we were there. We will return.,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
What a terrific restaurant! The staff at Oceanaire make your night a dining experience.,5,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown
"The bar crowd was so noisy we could not hear well in the back of the dining room.
The food was satisfactory but not up to New Orlean's best.",3,Negative,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Awesome meal and staff. Attention to detail fantastic. Nice quiet vibe. Highly Recommended.,5,Positive,unknown,Positive,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Love the food but find the tables too close together and a little noisy.,4,Positive,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great restaurant!! Food was exceptional. Even was a celebrity.,5,Positive,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
The wine and cheese were fine. The entrees were so tasty!,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
nice looking place. TOO NOISEY if you want to talk or even meet someone. Waiter took our order and FORGOT to order appitizer so it never came. Food disgusting VERY OVER PRICED FOR THE QUALITY!!!,1,Negative,Negative,Negative,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Saving grace: most conveient restaurant for Roundabout @ American Airlines Theater,no majority,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
The restaurant is far too expensive.,2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
felt a bit like one of the chains. wouldn't go back.It was too loud.,2,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Catching up with an old friend, we came after the theater crowd left, drank wine, ate well, service was attentive, stayed on for hours. Lovely rooms, great Roman food.",5,Positive,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown
Terrible dining experience. Service was terrible. Food was mediocre. Wouldn't recommend this restaurant to anyone even though it was cute,1,Negative,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We had a reservation for 6:45, and weren't seated until 7:20, and only then because we agreed to sit inthe bar area which was dark and dirty. the food was unimpressive.",no majority,Negative,Negative,Negative,unknown,Negative,unknown,Negative,unknown,Negative,Negative,unknown,unknown,unknown
